Film,Commentaire,Sentiment
Intouchable,"Intouchable est un film émouvant, sans jamais être alarmiste, et surtout un film très drôle. Le duo ""Cluzet et Sy"" fonctionne à merveille.Le scénario est vraiment intéressant, et les personnages sont attachants. Un succès amplement mérité.",Positif
Intouchable,"s'il y a bien un film Français qui mets presque tout le monde d'accord c'est bien celui-ci, sa note sur Allociné et via d'autre sites parle pour lui.Il faut vraiment être fier de cette oeuvre, qui offre au cinéma Français une réelle visibilité, en dénote ses résultats probants au box office en dehors de nos frontières, et le succès du remake Américain propulsé par deux stars Holywoodienne, dont notre cher Walter White qui prends le fauteuil de Cluzet.je lui mets 5/5 car ce film m'a bouleversé au cinéma, non pas car j'étais hypé par le phénomène ""Intouchables"" mais tout simplement parce qu'il est une vraie réussite.Il est un vecteur d'émotion, il switch de scènes hilarantes à des scène d'une grande éloquence en très peu de temps, porté par une soundtrack de feu de dieu . Una Mattina et Earth wind and fire, mémorable. Et que dire de la photographie du film, elle est prodigieuse. ! une vrai Magie entoure ce film si bien qu'à la fin je me suis surpris à avoir presque la larme à l'oeil ! François Cluzet est bouleversant, Omar Sy est très très convainquant.Je l'ai toujours trouvé attachant dans ses films ( je pense à ""Samba"" ou ""Demain tout commence"" ), il se débrouille bien sans pour autant être impressionnant ni très bon mais à croire que ce film lui colle à la peau car il est au firmament dans son rôle. De nombreuses scènes sont d'ors est déjà cultes : Je pense au fou rire d'Omar lors de l'opéra, à la toute première séquence du film, l'épisode du rasage de Cluzet et j'en passe ! Un chef d'oeuvre du cinéma Français ET du cinéma tout court. Soyons en fier.",Positif
Intouchable,"Sublime... voilà, c'est le seul mot qui suffit à résumer ce film ! Omar Sy et François Cluzet était déjà des acteurs que je surveillais de près, mais bon Dieu ! Quel talent ! De plus, le film est rempli d'humour qui rajoute tellement de bonheur. Vraiment intense et travaillé, d'après une histoire vrai, en espérant que le personnage de Driss dans la vrai vie était aussi excellent qu'Omar dans le film :p",Positif
Intouchable,"Intouchables est pour moi un gros, très gros coup de coeur . J'ai vraiment adoré, c'était énorme, j'ai était agréablement surprit et très impressionné par ce film qui est une pure merveille. Et surtout j'ai rigolé, rigolé et même pleuré de rire a des moments : sa fessait longtemps que je n’avais pas autant rigolé. Ce film est vraiment hilarant et sa je dis Bravo surtout sur un sujet aussi délicat. Et il y a aussi de l’émotion, de l’espoir, de la bonne humeur qui transpire de ce film. Et le duo François Cluzet Omar Sy que dire : ils sont juste exceptionnel et le duo marche a merveille : Un grand Bravo a ces deux acteurs qui transmettre leur bonne humeur. Voila un excellent film et j'aurai voulu que se film dure encore plus longtemps tellement qu'il était génial. Je vous le conseil absolument ce film, a ne pas raté car on ressort de ce film de bonne humeur de très bonne humeur, sa fait vraiment plaisir. Un des meilleur film de l'année. Un énorme coup de cœur mais aussi un pur chef-d’œuvre.",Positif
Intouchable,"Je suis très haut, au huitième ciel des critiques comblées. Il y a des années lumières que j'ai pas vu un film aussi parfait qu'Intouchables. Vraiment, c'est sensationnel. Bravo Omar ! Je t'aime même si je te connais pas. Bravo François Cluzet, je vous connais et vous jouez de mieux en mieux. Bravo les metteurs en scène, que je connais pas et qui sont sensationnels. Vous m'avez donné (vous donnez à tout le monde) courage et espoir en l'espère humaine. Avec des gens comme vous on n'est pas foutu, on va chanter et danser et rire aux éclats, même si on est tétraplégique. C'est génial, c'est une leçon de vie, de courage, de rigolade et de cinéma. Et c'est servi brûlant par deux comédiens exceptionnels, Omar et François.",Positif
Intouchable,"hilarant ! ce film représente bien le contraste entre 2 hommes venant de 2 horizons différents et dans 2 situations différentes mais qui toutefois parviennent à créer une amitié solide et touchante. Chaque scène a sa part d'émotions, de rire voire même de pleures. Un super film !",Positif
Intouchable,"Ce film pourrait se définir le plus simplement du monde par son incommensurable réalisme. Une œuvre à échelle humaine riche de grands moments de partage là où les classes sociales se regroupent pour n'en faire qu'une: celle des Hommes. Tant d’émotions émanent de ces deux hommes que tout semble opposer mais pourtant si proches, liés d'une sorte de symbiose inexplicable, que l'univers tout entier s'efface devant eux. Rien ne peut leur arriver car le monde leur appartient. Une prouesse d'acteur est à saluer ici, le duo Omar Sy et François Cluzet sans quoi, ce chef d’œuvre n’aurait lieu d'être. Du très grand cinéma faisant honneur à la scène française. 5/5",Positif
Intouchable,"Drôle et émouvant de bout en bout, le meilleur film français à ce jour",Positif
Intouchable,"Enfin, venon faire la critique d'un film innatendu qui a fait des millions d'entrées en france et qui continue a cartonné dans les autre pays. Et bien oui ! Je vous parle de Intouchable. Ce film est magnifique, il est comme vous laurez compris, très drôle, mais aussi touchant.Le film est tiré d'après une histoire vraie et vraiment il est magnifique. Omar Sy n'as jamais été aussi marveilleux que dans ce film, il drôle, et touchant, enfin bref il est incroyable ! Quand a François Cluzet il est lui aussi merveilleux dans son rôle de personnage handicapée, le début du film est incroyable, et on est plongée dans le film. On n'as des moments de fous-rires et des moments où on est au bord des larmes.La musiqure est quand a elle étonnante, elle redonne le punch, et certain morceau son triste et magnifique a la fois. Les réalisateur on sût rendre cette histoire vraie a l'écran avec grandeur, ils sont fait du grand boulot, ainsi que les acteurs.Intouchable est un film magnique, incroyable,touchant, excellent, enfin bref c'est un chef-d'oeuvre de son genre.",Positif
Intouchable,"Un vrai chef d'oeuvre français! Intouchables est très bien réalisé. L'histoire de la rencontre entre les deux francais, qui n'ont rien en commun et qui pourtant vont devenir très proche, est très accrochante. François Cluzet incarne sérieusement bien l'handicapé riche. Omar Sy, qui jou le jeune de banlieue, est également excellent et apporte de l'humour efficace et plaisant. Il y a aussi de beaucoup d'émotion, de bonnes musiques... La fin est très bien menée. Un film français à voir absolument.",Positif
Intouchable,"seul le septième art est capable de nous faire passer d'aussi bons moments. un duo improbable au départ qui se transforme en une amitié magnifique entre deux êtres que tout sépare,de grands moments de rire,de sourire,d'émotion,mais surtout une extraordinaire leçon de vie et de courage.fabuleux.",Positif
Intouchable,"Un film qui vous fait à la fois pleurer de rire, et vous fait verser une larme d'émotion à la fin, mérite forcément pleins d'éloges, et la note maximale. Merci et bravo !",Positif
Intouchable,"""Intouchables"" est un film hilarant du début à la fin. Bien longtemps qu'on n'avait pas vu une comédie française de cette qualité. Le duo Omar Sy François Cluzet fonctionne à la perfection.",Positif
Intouchable,"Les comédies du tandem Nakache et Tolédano sont toujours drôles, touchantes, tendres et nostalgiques. Celle-ci sort du même moule. Hilarant et émouvant, le film est parfait de bout en bout : les dialogues sont superbement écrits, François Cluzet est très fort en n'utilisant que son visage et Omar Sy est lumineux, touvant là son plus beau rôle. La comédie de l'année !",Positif
Intouchable,"Je comprends véritablement le succès que rencontre en ce moment le film ""Intouchables"".Un film sublime, grandiose.Je ne me souviens pas avoir autant ri au cinéma depuis bien longtemps.Une émotion m'a pris à la gorge tout le long de la projection sans jamais me lâcher.J'ai autant eu envi de rire que de pleurer.Cette histoire touchante réunissant ces deux personnes qui n'auraient même jamais du se croiser est véritablement émouvante.Sans jamais tomber dans le mélodrame.Que dire également de l'interprétation magistrale des acteurs???Omar Sy est tout simplement incroyable...François Cluzet est épatant.Le film de l'année me demanderez vous?A cela, je répondrais: Probablement!",Positif
Intouchable,"Un divertissement tout simplement excellent! Tantôt touchant, tantôt hilarant, parfois fragile mais souvent comique, cette comédie est une pure réussite qui mérite largement son succès et la pluie d'éloge qui lui son faites. Le duo d'acteur est irréprochable (mention spéciale a omar sy). Le scénario qui traite d'un handicap lourd est traité avec légèreté et tourné en dérision a un tel point qu'on ressort de la salle avec un large sourire accroché aux oreilles pour le reste de la soirée...Une réussite totale a ne surtout pas manquer!",Positif
Intouchable,"Un film qui fait du bien tout simplement, après chaque vision on retrouve l'envie d'avancer de rire et de profiter de la vie. Un film non pas sur le handicap mais sur les handicaps vis à vis des autres et de la société avec une volonté farouche de combattre les préjugés et les injustices. Le duo d'acteur est extraordinaire et nous invite à partager une amitié peu évidente sur le papier. Mon coup de coeur pour la scène ou le personnage de Driss prend sa douche malgré ses ""frères et sœurs"",ainsi celle ou il raccompagne sa ""mère"" de son travail, cela sonne juste comme rarement . Et puis pas de bras : pas de chocolat!!",Positif
Intouchable,Ce film mérite le succès qu'il a eu. Il est à la fois drôle et touchant. Le sujet du handicap est très bien traité. On éprouve de réels sentiments en voyant ce film.,Positif
Intouchable,"Attachant, original, humour... c'est THE film français 2011. À voir et à revoir, vraiment !",Positif
Intouchable,"Ceci est un film véritablement incroyable. Eric Toledano et Olivier Nakache ont réussi à mélanger un maximum d'émotions avec de très bonnes ""blagues"". Ce film est tout simplement un nuage d'air frais qui fait véritablement un bien fou. Il n'y en à plus souvent, des comédies pareilles. Maintenant on doitse contenter de Dany Boon et compagnie. Donc si vous avez la possibilité de regarder ce merveilleux film, regardez-le absolument.",Positif
Intouchable,"Film brillant. Même si le succès que le film a connu peut être considéré comme exagéré, ce film est absolument à voir.Le film est très émouvant et drôle. Beaucoup de scènes sont cultes (l'opéra, le voisin mal garé, le tableau d'art contemporain …).La musique est excellente, bravo à Ludovico Einaudi (Una Mattina est un sublime morceau).Omar Sy et François Cluzet sont parfaits et forment un duo très attachant entre Philippe, handicapé et Driss, dont les origines sociales constituent un véritable handicap.À voir absolument !",Positif
Intouchable,"Depuis que « Intouchables » s’est classé deuxième meilleur film de tous les temps en nombre d’entées pour un film français au box office, se pose la question dans les médias des causes d’un tel succès. Si je ne prétends pas détenir la vérité, je pense qu’il est aisé de voir juste en regardant le film et sans être un grand critique d’art les qualités somme toute évidentes que le film possède. D’abord le scénario, tiré d’une histoire réelle, reste crédible tout le long et ne sombre jamais dans le pathos un peu lourdingue ni dans du sentimentalisme béat. Les situations sont toujours crédibles et les dialogues parsemés de bons mots font toujours mouche. Les deux principaux protagonistes sont vraiment très bien développés et ne sombrent jamais dans les clichés que l’on attachent à leurs origines (ici respectivement bourgeoise et banlieusarde). Le deux d’acteurs qui les incarnent sont tous deux formidables, François Cluzet comme à son habitude toujours juste et Omar Sy véritable révélation de ce film montre qu’il a les épaules pour porter à lui seul un rôle principal. Dans son cas si certains ont trouvés que son César était peut-être un peu prématuré, je peux dire que pour ma part qu’il est largement mérité tant sa performance ne souffre aucune faiblesse. Si au vu de tous ces points positifs on se demande pourquoi un tel succès c’est soit de la bêtise soit de la mauvaise foi, la vraie question à mon sens est pourquoi n’a-t-il pas dépassé les Chtis qui, ne nous méprenons pas, est un bon film populaire qui a mérité son succès, mais qui face à « Intouchables » ne fait vraiment pas le poids.",Positif
Intouchable,Un film très drôle qui donne la pêche . Les acteurs sont tous très bons dedans avec une mention spéciale a François Cluzet . La comédie française de l année !,Positif
Intouchable,"Inspirée d'une histoire vraie, cette comédie possède un scénario superbement écrit, hilarant, une remarquable mise en scène conciliant l'inconciliable, une excellente B.O., et est magistralement interprétée par le duo François Cluzet/Omar Sy.Une merveille !",Positif
Intouchable,"Le meilleur film de l'année !!!!! Fascinant, drôle, émouvant ! Un film réaliste avec des acteurs parfaits ! 2H de bonheur du début à la fin, entre chamaillerie et comédie ! Omar Sy parfait pour ce rôle et François Cluzet émouvant en handicapé ! Courez le voir !!!!!!",Positif
Intouchable,"Un chef d'oeuvre ! Une histoire touchante, de l'humour, un jeu d'acteur exceptionnel... Le film français de ces dernières années !",Positif
Intouchable,"Malgré un sujet difficile à traiter , ""Intouchables"" s'avère un vrai beau film, qui nous fait passer du rire aux larmes avec de bon sentiments et arrive à éviter les clichés de la banlieue .François Cluzet et Omar Sy forment un tandem de choc ""Intouchables"" est la surprise,la comédie de l'année une franche surprise",Positif
Intouchable,"Un film magnifique à ne manquer sous aucun prétexte !!!! Tout y est : humour, émotions, amitié....Une merveille comme on n'en voit pas tous les jours au cinémaLes 2 acteurs sont formidables !!",Positif
Intouchable,"La première fois que j'ai vu ce film, celui-ci ne m'avait pas marqué, l'ayant revu il y a peu je m'en souvenais comme un film drôle et légèrement touchant. C'est maintenant mon film français préféré et l'une des comédies qui m'a fait le plus rire. L'humour est frais, peu commun, naturel et évite de tomber dans l'humour un peu beauf de certains films français. Les personnages sont attachants et touchants, le film comporte de très beaux plans. Les musiques oscillent entre des morceaux entrainants, appuyant l'humour et la joie réciproque que se renvoient nos deux protagonistes et d'autres magnifiques morceaux au piano accentuant le passé douloureux de ceux-ci.",Positif
Intouchable,"Je ne suis pas trop fan des films français mais celui-là est un chef-d’œuvre ! En effet, Intouchables est le meilleur film français que j'ai vu avec Les Visiteurs de Jean-Marie Poiré ! Le duo d'acteur est juste incroyable ! François Cluzet a fait une excellente prestation, quant à Omar Sy, il m'a bluffé mais à un point... il est au top du top et a mérité le César du Meilleur acteur et j'espère que grâce à ce film, il ferra une grande carrière aux États-Unis ! Dans un rôle plus secondaire, j'ai également aimé le jeu d'actrice d'Audrey Fleurot. L'histoire qui s'inspire de la vie de Philippe Pozzo di Borgo et de sa relation avec son aide à domicile Abdel Yasmin Sellou bénéficie d'un scénario marquant grâce à sa richesse en émotion, son aspect dramatique/comique, son organisation et son développement. En effet Intouchables est un film qui fait énormément rire (et ce n'est pas un humour vulgaire et ou immature comme dans certaines comédies de ces dernières années, c'est un humour avec des répliques et situations drôle, voire hilarantes) mais le côté dramatique et aussi travailléspoiler:(comme le fait que le personnage tétraplégique n'ait pas de femme dans sa vie, le fait qu'il souffre de douleurs physiques, le fait que la situation familiale de Driss ne soit pas bonne ect...). Intouchables, c'est aussi un film de TOLÉRANCE ; en effet, les protagonistes sont hypers différents :spoiler:Driss vit en banlieue parisienne tandis que Phillipe est un homme riche (milieux et environnement différents) et pourtant, ils deviennent de grands amis et le handicape de Phillipe n'a pas d'influence sur cette amitié (à part le fait qu'ils ne ce serraient jamais connus).spoiler:Le fait que le long-métrage commence par la finest assez stylé (pour une fois que les français prennent le soins de styliser leurs films). La bande originale est géniale, j'ai adoré la musique Fly. Bref, un Grand film dont on ne se lasse pas !!! Un long-métrage devenu important pour la culture cinématographique française et pas seulement grâce à son énorme succès commercial ; le succès critique est également très bon.",Positif
Intouchable,"Comme beaucoup, je suis allé voir ""Intouchables"" presque à reculons, redoutant que le tapage médiatique ne cache finalement une sombre bouse. Vaine précaution tant le film surprend par ses nombreuses qualités. La première consiste à transgresser un interdit social : tourner en dérision le handicap. On se souvient encore des déboires de Patrick Timsit suite à un sketch de cette nature. Dans la France bien-pensante du XXIe siècle, le pari est osé. Eric Toledano et Olivier Nakache avancent bien sûr couverts. La mise en exergue de certaines réactions-type vis-à-vis des handicapés ainsi que la présentation minutieuse de tous les problèmes matériels rencontrés par les paraplégiques leur confère l'image de défenseurs du droit à la différence. De sages précautions les rendant intouchables à l'égard de la critique. Le second atout majeur du film, il est grand, black et doté d'un rire très communicatif : Omar Sy. On peut aimer ou pas le personnage, apprécier ou critiquer son jeu théâtral, mais dans tous les cas une chose est sûre : il est très difficile de rester de marbre quand il éclate de rire devant la caméra. Au final, selon moi ""Intouchables"" apparaît donc bel et bien comme la nouvelle réussite comique française, chose peu aisée tant les bouses se ramassent à la pelle dans ce domaine.",Positif
Intouchable,"Inratable, inmanquable, resoluement LE film de l'année tant pour sa profondeur que son humour. Omar Sy y est epoustouflant!",Positif
Intouchable,Succès entièrement mérité tant par l'histoire que les acteurs ensembles et seuls. Un excellent moment.PLV : un grand bravo aux comédiens mais aussi au choix de l'histoire pour aborder le sujet,Positif
Intouchable,"Évidemment de la redite mais le film est tout simplement très bon. Les acteurs bien évidemment, chapeau à Cluzet car ne pas bouger du tout doit être extrêmement difficile, Sy est nature, comme on l'aime. Le regard sur le handicap lourd est très bien fait, simple et concret. En tant que pro de la santé et connaissant les tétra, je pense que beaucoup de personne ont eu des réponses ou des révélations sur les conditions de vies de ces personnes (sexualité, besoins physiologiques etc...). Évidemment tous les tétra n'ont pas la chance d'être multimillionnaire, ce qui change la donne. Mais là n'est pas le sujet, la banlieue est aussi très simplement présentée, vraie et désemparée. Un excellent film dont on comprend le succès phénoménal. À voir évidemment...",Positif
Intouchable,"Intouchables fut la comédie de l'année 2011 battant même le record d'entrées de Bienvenue chez les Ch'tis 3 ans auparavant. Et quel est le parallèle que l'on peut faire entre ces 2 films ? L'humanité des personnages. Intouchables joue sur le contraste entre le noir rigolo des cités et l'aristocrate richissime mais cloué sur un fauteuil roulant. Leur solitude à tous les 2 va forger leur amitié et les rendre complémentaires. On rit tout au long du film grâce aux vannes d'Omar. L'idée de choisir un comique pour incarner Driss fut judicieuse. Et justifie l'adage que l'on peut rire de tout...tant que c'est drôle. L'intelligence du duo de réalisateurs/scénaristes Toledano/Nakache nous font éviter les clichés. Oui, on peut se moquer d'un handicapé et non, on ne doit pas leur montrer de la pitié. Ce qu'ils veulent, c'est être considéré comme des gens normaux. On rit beaucoup mais on est quand également touché. La musique est très mélancolique et le film ne déborde pas d'optimisme. Driss sort de 6 mois de prison. Son environnement familial est agité. Sa mère lui demande de quitter l'appartement. Il est au chômage. Ses tentatives pour séduire Magalie la secrétaire de Philippe resteront vaines. Quant à Philippe, il est handicapé. Sa fille est en pleine crise d'adolescence. Et il a perdu son épouse décédée d'une terrible maladie. Le tandem Toledano/Nakache que je suis depuis l'excellent Je préfère qu'on reste amis avec le duo Rouve/Depardieu frappe fort avec cette histoire pourtant casse-gueule au départ. Chapeau bas.",Positif
